name,country,room_type,nr_nights,date,traveler_type,title_review,pos_review,neg_review,hotel_response,score
Nicholas,United Kingdom,Deluxe Double Room with Balcony,2 nights ·,February 2024,Group,I wouldn’t stay there again If you payed me,Not much to be honest,The staff The room The bed The noise outside,,1.0
Caroline,United Kingdom,Basic Double Room,3 nights ·,February 2024,Family,Pleasant,Location was great.,Rooms are a bit dated but comfortable for the price.,,6.0
Victor,Malta,Budget Single Room,7 nights ·,February 2024,Solo traveller,Exceptional,It was a nice experience,,,10
Nena,Serbia,Budget Double Room,2 nights ·,February 2024,Couple,Exceptional,The decor is so amazing. It is so close to the metro station and the bus stations. The bed was comfortable and the bathroom was big. The breakfast was super tasty and there were plenty of choices for everyone.,None,,10
Clara,United Kingdom,Budget Double Room,5 nights ·,February 2024,Family,Exceptional,"Amazing location, it was a walking distance to all the landmarks and close to a metro station. The staff were incredibly friendly and helpful. The room was nice, clean, and comfortable. Will definitely stay here again when I come back to Porto!",,,10
Volha,Belarus,Twin Room,1 night ·,November 2023,Group,Great price/quality balance!,Great location in the city center near the main attractions! Wonderful view from the window and the balcony! The room was superb with two separate wc for each person. It was very nice to receive a compliment from the hotel.,"One set of the toiletry accessories was incomplete. We were also upset about the Wi-Fi, because there was no connection in the room.",,10
Coral,United Kingdom,Budget Double Room,2 nights ·,January 2024,Couple,"Value for money , great staff and fabulous location","Quirky items to look at , very clean and in a great location","Bathroom a bit tired, needs new sealant and taps covered in lime scale",,10
John,United Kingdom,Basic Double Room,3 nights ·,January 2024,Group,Exceptional,"Hotel staff were really friendly, the location was perfect and the room was clean and surprisingly comfortable. And it was a very reasonable price. Nothing bad to say about the place at all. The little museum room, old trinkets and quirkyness was quite cool too.",,,10
Deepak,United States,Two-Bedroom Suite,1 night ·,January 2024,Family,Overall it was good that's why we stayed there while coming back from our Spain trip too,"Location of this hotel is great. Room were big and clean, may be we booked best rooms. Breakfast need to have more vegan options.",Breakfast need to have more vegan options.,,10
Steph,Ireland,Budget Double Room,4 nights ·,January 2024,Couple,Quirky hotel in a good central location. The 1950's decor is novel and quaint.,This hotel has quirky decor in a 1950s style that we enjoyed.,Unfortunately the bar was closed in January - only opened on New Years Eve and was more a breakfast room than a bar!,,6.0
Clídia,Portugal,Budget Double Room,1 night ·,December 2023,Family,Exceptional,Location was perfect!,,,10
Karina,Spain,Family Suite,1 night ·,January 2024,Family,Disgusting,"They ruined my complete experience in Oporto the room was all dirty, you could find hear all over the place.. Even on the toilet, the bed and the fridge. VIRGINE was very helpfull, however, no other rooms were available and she only could replace the lining on yhe beds as she was alone in the reception and no allowed to vacuum at the time we arrived. Honestly , me and my family, we are completely disappointed and we couldn't enjoy our holidays just thinking we have to get back to such a dirty place. First time we were actually looking forward to finish the holidays and get back home","They ruined my complete experience in Oporto the room was all dirty, you could find hear all over the place.. Even on the toilet, the bed and the fridge. VIRGINE was very helpfull, however, no other rooms were available and she only could replace the lining on yhe beds as she was alone in the reception and no allowed to vacuum at the time we arrived. Honestly , me and my family, we are completely disappointed and we couldn't enjoy our holidays just thinking we have to get back to such a dirty place. First time we were actually looking forward to finish the holidays and get back home",,2.0
Mehmet,Sweden,Budget Double Room,3 nights ·,December 2023,Couple,Passable,The cleaning was really good. It had a very clean and large bathroom.,"It was a very gloomy and suffocating room. It was ridiculous that they asked about breakfast time, probably because it was a small breakfast room, but the process was very bad, and the breakfast was also very bad. I think older people might like this hotel, but it wasn't for me.",,5.0
Antonia,Greece,Budget Double Room,3 nights ·,December 2023,Couple,I loved it and I would booked it again,"I liked very much that the hotel was a vintage museum it’s self I loved the decorations, the room was very nice and very quiet even if it’s in the centre of the town! It was close to everything!!",The room was a little bit cold we had air condition but for winter wasn’t enough,,10
Rodrigo,Switzerland,Budget Double Room,1 night ·,December 2023,Solo traveller,"Clean, cheap and well located, but was given a worse room than what I booked and staff didn't care.","Perfect location, clean, and cheap.","Booked a ""Budget Double Room"" for one night, which clearly states it has one double bed. Instead I was given a room with two (quite) small single beds. When I asked the staff about it and told them the booking clearly states the room had a double bed the reply was ""Yeah, that's just how it is"" and didn't really make an effort to fix the issue. I understand it's a cheap hotel, but I at least expect to get what I book.",,6.0
Peter,Ireland,Superior Double Room,3 nights ·,December 2023,Couple,Great stay at a quirky hotel,We loved the quirkiness of the hotel. There are pieces of memorabilia from decades ago everywhere. The room we booked was a superior double. It was big and even had a balcony facing the street outside. Buffet breakfast has everything we needed.,Probably the early morning traffic but closing the tilting window solved that problem.,,10
Gavin,United Kingdom,Superior Double Room,4 nights ·,December 2023,Couple,A delightful hotel in a superb location.,Friendliness of staff and owner. Decor and the interesting pieces in the hotel. Excellent breakfast - delicious cakes. The location was superb - only six minutes walk from the Trinidade Metro station and near everything we had planned to see. Looking forward to our next visit.,Nothing to dislike here. The standard of cleanliness was excellent. We could not fault anything with this hotel. We shall stay here again on our next visit to Porto.,,10
Weiqing,China,Budget Double Room,2 nights ·,November 2023,Couple,A wonderful place to stay in Proto,"Best hotel of my whole honeymoon travel! This hotel is very beautiful, and decorated with lots of vintage things, makes me feels like back to 80/90. The lady works at the reception was very friendly to us. Room was very big, and the washroom was very tidy and clean.",All were very good!,,10
Viaggiatore,Italy,Basic Double Room,3 nights ·,October 2023,Group,Exceptional,Location - staff promptness - room and balcony spaciousness and design - ample breakfast choice,,,10
Amy,Malta,Budget Double Room,5 nights ·,November 2023,Couple,Exceptional,,"Vegan and gluten free options during breakfast were very limted to 4 slices of gf bread and a couple of biscuits, even though we informed hotel staff way ahead and full price was paid",,10
Monica,United States,Budget Double Room,1 night ·,November 2023,Family,"Incredible service, amenities, and location!","The location was incredible, right in the heart of the city and bustling with restaurants, stores, and a tram stop for the classic tourist 28-line. The hotel was decorated with such quaint, historical decor through many rooms — dining rooms, foyers, alcoves, the lobby, a lower-level wine bar, our individual room itself — and the stellar service and amenities made me feel like I was at a five-star resort! The staff went out of their way to bring me toiletries I needed, breakfast at 6AM when we had to leave early for a flight, not to mention there was complimentary all-you-can-eat wine/cheese/bread/pastries. Can’t say enough good things!!!","Nothing, our stay was perfect!",,10
Jordhan,United Kingdom,Budget Double Room,3 nights ·,September 2023,Family,Would stay again,Very retro themed hotel lovely staff rooms were clean and nice . Brilliant location,,,10
Yutiy,United States,Budget Double Room,1 night ·,November 2023,Group,Great 3 star hotel in city center,The hotel has outstanding and very nice design,,,10
Kathleen,United States,Budget Double Room,1 night ·,October 2023,Solo traveller,Fabulous,Staff was extremely helpful,The weather,,10
Check,United States,Budget Double Room,4 nights ·,November 2023,Couple,This was a brilliant surprise I can not say enough how pleased we were. Location easy access to pu,I love the decor and location was perfect,Nothing will recommend to anyone I know going to Porto,,10
Nene,United States,Budget Double Room,3 nights ·,November 2023,Family,Exceptional,The hotel was charming and the staff were all polite and very helpful,No coffee in the room,,10
Volodymyr,Czech Republic,Superior Double Room,1 night ·,October 2023,Couple,Exceptional,"Everything was fine. Location, room and good breakfast.",,,10
Barbara,United States,Twin Room,1 night ·,October 2023,Solo traveller,I needed easy spot for one night extension and this was perfect,Friendly staff. Clean room,Nothing,,10
Emilio,Philippines,Twin Room,2 nights ·,October 2023,Couple,Wonderful stay,Good location and courteous staff,None,,10
Patrick,Netherlands,Basic Double Room,2 nights ·,October 2023,Group,luckily it was a short stay. :),Sober is the best way to discribe this hotel. The decor makes is a little bit fun and creepy at the same time. Sort of Halloween movie scene theme... :),Rooms are way below 2023 Standards and no comfort at all. The beds are horrible and no duvet but thin sheets only. Headpillow was from 1980 i guess......,,2.0
Aideen,Ireland,Superior Double Room,3 nights ·,October 2023,Group,Pleasant,Location and cleanliness,"Price, we were charged 200 extra for the same as others in our group",,6.0
Elizabeth,United States,Budget Double Room,3 nights ·,October 2023,Family,Great location,Location,,,10
Frank,United States,Family Suite,3 nights ·,October 2023,Family,"Location, style, friendly and a great served breakfast! Great value!",Great breakfast. You get served instead of the typical buffet. Nice touch! Great location. Great restaurant next door. Walkable from train station. Quiet and clean place. Highly recommend!,There is nothing that comes to my mind.,,10
Emily,United States,Budget Double Room,1 night ·,October 2023,Group,Perfect place to stay when trying to walk around Porto,Great convenient location with parking garage discounted price on the same block. Clean and well kept.,None!,,10
Michal,United States,Budget Double Room,2 nights ·,October 2023,Solo traveller,Exceptional,Great location! Super-kind front desk staff! quiet top floor room!,,,10
Collison,United Kingdom,Basic Double Room,1 night ·,October 2023,Family,The smell of drains was so bad we had to sleep with the windows open all night. It was very noisy.,The breakfast was very good. The location was fine.,The smell in the room was dreadful due to a shower and toilet drain smell what appeared to be retro fitted.,,1.0
Svetlana,Canada,Budget Single Room,2 nights ·,October 2023,Solo traveller,"Excellent choice for tourists that like being in the hot spot of tge town, snd a touch vetter tga",Location is priceless . terrace on the6 this amazing to dort out imressions of the day and enjoy a bit nice viee before going to bed. staff is small in number but pure gold. Receptionest Virginia lands a book about Portugal and helps with plans for the day. The waiter Tiego at the Top Roof Terrace Bar is the friendliest andkibfest of people and also versed on turist dilemmas. Breakfast is excellent! The team is so good that one foes not mind the concept of a small hotel. i will recommend to all friends and will return.,,,10
Pam,United States,Superior Double Room,4 nights ·,September 2023,Couple,A wonderful experience staying at this unique boutique hotel. I’d definitely recommend staying here!,"Great location location close to San Bento train station, restaurants, shopping etc. Professional and knowledgeable staff. Unique property with all the vintage items. Roof top terrace was nice to be outside with space to relax.",,,10
Langley,United Kingdom,Deluxe Double Room with Balcony,1 night ·,October 2023,Couple,Really lovely and memorable and would not hesitate to recommend this great hoteland its lovely staff,Very cool vintage themed hotel with amazing mid century memorabilia all really excellently curated and displayed. This is the reason we chose this hotel. Plus the rooms were exceptionally clean and modern . The staff were really helpful and accommodating . The hotel is excellently sited to walk the historic district with great restaurants and cafes on the doorstep,Breakfast average but nothing wrong with it.. Good selection but would have liked more fresh fruit. Booking a specific time for breakfast worked well and the member of staff on duty was great,,10
Elizabeth,Canada,Superior Double Room,3 nights ·,October 2023,Group,Great hotel in an excellent location. Highly recommended.,"Fun decor, with some quaint features. Beautiful terrace with room, accommodating staff at a great location.",,,10
Masha,United States,Superior Double Room,2 nights ·,October 2023,Couple,Exceptional,"Room, service, location, interior",Mattress was harder than I am used to,,10
Thomas,United Kingdom,Budget Single Room,1 night ·,September 2023,Solo traveller,Exceptional,Friendly staff who were very helpful,,,10
Clive,United Kingdom,Deluxe Double Room with Balcony,3 nights ·,September 2023,Couple,Good all round value,Excellent breakfast choice.Good location.Very comfortable.,,,10
John,United States,Superior Double Room,4 nights ·,September 2023,Couple,A great hotel in a great location.,The location of the hotel was perfect for access to many attractions and the Metro. Breakfast was well staffed and supplied. The room was an upgrade at no extra charge in order to give us the double bed we requested. And the vintage decor in the common areas was fun to look at!,,,10
Liane,United Kingdom,Budget Double Room,6 nights ·,September 2023,Family,Excellent.,Had a good variety to choose from. The staff were soo helpful. I would highly recommend this hotel. If l ever go back to Porto l would go back to this hotel.,,,10
Anand,United Kingdom,Budget Double Room,3 nights ·,September 2023,Couple,Great location. The rooms and facilities need a refresh. The staff were helpful and friendly.,"The location is excellent and good walking distance to shopping, good restaurants and attractions.",Very dated building and needs some repairs.,,6.0
Ian,United States,Budget Double Room,1 night ·,September 2023,Couple,Good but not sure if I will stay there again.,"The pictures are better than the Hotel. It is a dated hotel, however the rooms were super big. At first we though the Hotel was cool but then we had mixed feelings with the decor! Could not sleep very well.",The atmosphere!,,5.0
Diane,United Kingdom,Budget Double Room,5 nights ·,September 2023,Couple,Amazing hotel. Would definitely stay there again if ever return to Porto.,"Friendly staff, superb breakfast, excellent location, lovely clean room.",Traffic noise at night but did not spoil stay.,,10
Wilson,United Kingdom,Budget Single Room,2 nights ·,September 2023,Solo traveller,"I don't recommend, too expensive for what they offer.",,"The hotel stay was very expensive for what the hotel offered. The rooms was shabby with dated furniture, there was dust and dirt in areas and grime on handles, additionally the electrical socket was loose. The room smelt of sewage, this was disguised with heavily scented room deodorizer. The bathroom was dirty with black mildew around shower fitting. The taps, hand basin, mirror and glass room partition all had residual splashes and marks that hadn't been cleaned prior to me arriving. There was no coffee in the room just a small selection of herbal tea bags, it looked as though they had been put there as a cheap option. I asked if they had coffee, I was told no and that I'd have to buy it from a machine in the foyer or go to the cafe next door and buy it. Basic tea/coffee facilities in rooms is standard and I've never before experienced having to buy my own after paying for my stay. This hotel is not cheap, the management appears to be deluded about their offering. I've stayed at much better hotels for a lot less money. I don't recommend this hotel.",,1.0
Edralin,Switzerland,Basic Double Room,3 nights ·,September 2023,Couple,Exceptional,"The friendly accomodation from the reception, to the staff and other personels is and was great. The room was always clean and nicely arranged and maintain. The hotel is really near and easy accessible to everything you nead...",,,10
Lorenza,Australia,Basic Double Room,4 nights ·,September 2023,Group,Perfect stay in gorgeous town of Porto,"Beautiful Art Deco hotel full of collectibles, lovely comfortable room, beautiful bathroom. Our breakfast was just lovely big selection. We will tell our friends to use this great hotel.",,,10
Mark,United Kingdom,Budget Double Room,3 nights ·,September 2023,Couple,I would recommend this hotel,"Lovely hotel in a good location for everything Porto has to offer, friendly staff where nothing was a problem, Good breakfast and large comfortable room with good bathroom",Nothing,,10
Barbara,United States,Basic Double Room,7 nights ·,August 2023,Couple,Exceptional,Great walking distance to everything,,,10
Mary,Malta,Basic Double Room,5 nights ·,September 2023,Couple,It was amazing experience.,The location was accelent because you could reach it by different modes of transport such as bus and train or Metro. The hotel was always very clean. Food for breakfast was abundant and always fresh. The room was very spacious with all facilities. It eas within walking distance to Porto centre.,Everything was perfect. Maybe the lift could be renovated. Maybe some ventilation in the bathroom.,,10
Laurie,United Kingdom,King Room,2 nights ·,August 2023,Couple,Exceptional,Quirky but practical. Super comfy room and friendly staff,,,10
Paula,United States,Budget Double Room,3 nights ·,August 2023,Solo traveller,Exceptional,"Super clean, quiet, comfortable. Awesome location! You can walk everywhere from here. It’s quiet and still central.",Nothing.,,10
Sylvie,Canada,Budget Double Room,3 nights ·,August 2023,Couple,"Perfect, location location",Location perfect 👍,,,10
Gabriel,Germany,Single Room,1 night ·,August 2023,Solo traveller,A nice central location to rest,"Really nice hotel in a very central location. Good breakfast, overall great value.","The only thing I could point out is that I prefer the type of place in which I get a key card. The key is supposed to be left at the reception each time one leaves like in the old days. During the night, you'll have to ring a bell and wait for the receptionist to open the main door for you if you stay out a bit late. The place was really nice, but I'd prefer not to be dependent on others to come and go...",,10
Chunan,United Kingdom,Twin Room,2 nights ·,August 2023,Group,"Great experinece, nice location","The location is superb, close to the town hall and within 15 15-minute walk to the river front. The roof bar has a view of the town hall as well. The staff team is friendly and helpful!",,,10
Melissa,Australia,Budget Double Room,3 nights ·,August 2023,Couple,A quirky and well located hotel,The central location to everything on Porto. far enough back from the major tourist sites to get some space from the crowds. The incredible staff who helped with any questions or bookings.,,,10
Jeanine,Canada,Triple Room,3 nights ·,July 2023,Family,Exceptional,The location and the breakfast were great.,"Our air conditioning didn't work, it took 12hrs to fix.",,10
Arturo,United States,Budget Double Room,2 nights ·,July 2023,Solo traveller,Exceptional,"the fabulous collection of vintage items on each floor, it's almost like lodging in a museum",,,10
Camilla,Italy,Triple Room,1 night ·,July 2023,Family,Central hotel with vintage twist,Central location and spacious room,Even though the hotel has a vintage charm it is a little bit outdated - check in process is as well a little bit outdated,,6.0
John,United Kingdom,Budget Double Room,1 night ·,July 2023,Solo traveller,Exceptional,Historic appliances,,,10
Kellie,Spain,Budget Double Room,4 nights ·,July 2023,Family,Will return,Amazing hotel in a beautiful location. Great facilities and lovely staff,Nothing at all,,10
Andrea,Slovakia,Family Suite,3 nights ·,July 2023,Family,Surprise,I really like equipments in the hotel and place in the centre.,"The bathroom in first room, in second was better and communication about the breakfast, because they promised and they did not do that. Before we left the hotel, they should prepare breakfast packages. One promised, second did not do it.",,6.0
Lene,Denmark,Family Suite,3 nights ·,July 2023,Family,Passable,,The breakfast was really poor. No interesting common facilities or lobby/bar,,5.0
Sasha,Australia,Budget Double Room,3 nights ·,June 2023,Couple,Porto is a beautiful city to explore and staying at this hotel made it easy to do all on our agenda.,"The location of the hotel was ideal for wandering and exploring the city. The staff were wonderful, we felt welcomed and all questions answered.","The room was fine, however we stayed a few nights and became cramped as not much room to move, and quite dark.",,10
Laura,Ireland,Budget Double Room,7 nights ·,July 2023,Couple,Ok,"Great location, very central","Bed was very uncomfortable. We asked to change rooms but were told all the bed were the same.we could not sleep as a result. Breakfast was terrible. Very poor selection of food. Rooftop ""bar"" isn't a bar. They have a few bottles on a table.",,6.0
Eamonn,Ireland,Budget Double Room,3 nights ·,July 2023,Couple,Exceptional,"The staff were very friendly and helpful. The room was clean, the bed was large and comfortable. The location was very good for accessing the old town and also the airport/train stations. Would absolutely recommend.",,,10
Cassama,United Kingdom,Budget Double Room,2 nights ·,July 2023,Couple,Disappointing,The location of the hotel,"Mould on the bathroom ceiling, bathroom sink was blocked, the mattress was hard, and much more.",,4.0
Kim,United States,Budget Double Room,3 nights ·,June 2023,Couple,Enjoyed everything about it and staff was kind and very helpful.,"The rooms were spacious, comfortable, clean and modern. The hotel was close to transportation and sites. The breakfast was plentiful and good",,,10
Neil,United Kingdom,Budget Double Room,3 nights ·,June 2023,Couple,Exceptional,Good location for exploring Porto. Friendly & helpful staff. Good breakfast.,Nothing,,10
Kerry,Australia,King Room,2 nights ·,July 2023,Couple,Disappointing,The location was great. Staff polite. Larger than normal room.,Very noisy. Construction happening across the road well into the night. With no warning prior to booking regarding the construction. The extra bed we paid for was a leather lounge with a very thin protector as a mattress. Very uncomfortable. Disappointing.,,4.0
Mr_mineral77,Germany,Budget Single Room,4 nights ·,July 2023,Solo traveller,Excellent Hotel in the Heart of Porto,reception staff are awesome and very friendly. The location could not be better and the beds are comfy. There is also a fun and quirky theme in the common spaces of the hotel.,,,10
Rafael,United Kingdom,Budget Double Room,3 nights ·,July 2023,Couple,Highly recommended place!,"The property is well located, close to restaurantes and markets. The staff is friendly and always keen to help. The rooms were nice and clean, and the staff rest the bedsheets and cleaned the bathrooms everyday","The street can be noisy at times, and it can be annoying for some.",,10
Susan,United States,Family Suite,2 nights ·,July 2023,Family,Skip this one!,Great location,Bathroom was dirty and moldy. Musty room smell. Staff requested we leave room key at desk every time we left hotel which was odd to me.,,5.0
Nuñez,Chile,Twin Room,1 night ·,July 2023,Family,bad,nothing,"room very small, i travel in bike and pay 10 euro for aparkment in a room, that room only have garbage. dont havening aparkment for car and cost 22 euros for 24 hrs in another side.",,6.0
James,Ireland,Superior Double Room,4 nights ·,June 2023,Couple,Passable,Location,"Staff, v unfriendly, didn't even ask if everything was ok when we were checking out...terrace bar was closed for our first 2 nights ,rooms very dated and ours was supposed to be a superior room,it was probably the worst hotel that we've ever stayed in",,5.0
Simone,Italy,Triple Room,2 nights ·,June 2023,Family,Strongly recommended,"Staff TOP, kind available fast friendly smiling warm Room big and with all needed tools and CLEAN Breakfast well organised to avoid crowded room, good quality and quantities Price honest and perfect STYLE TOP",I would say everything was perfect,,10
Zuzana,Slovakia,Deluxe Double Room with Balcony,1 night ·,June 2023,Couple,Exceptional,Good location close to the city center Spacious room with the terrace and super king bed,Bathroom had only glass door without any soundproofing,,10
Lisa,United Kingdom,Budget Single Room,4 nights ·,June 2023,Solo traveller,Pleasant,Location is excellent,,,6.0
Samantha,United Kingdom,Triple Room,3 nights ·,June 2023,Family,"Room was spotlessly clean, reception staff were very helpful, roof terrace was great, location was p","Room was spotlessly clean, reception staff were very helpful, roof terrace was great, location was perfect, the lobby is very retro which is fun",nothing,,10
Tomáš,Czech Republic,Budget Double Room,2 nights ·,June 2023,Couple,Thank you,Friendly staff,"The bar on the rooftop was closed. It was pity, because I chose this hotel due to bar on the rooftop.",,10
Lena,Spain,Budget Single Room,2 nights ·,June 2023,Group,Pleasant,The old school charm.,The room door did not seem safe. I would have like a more secure door.,,6.0
Lewis,Spain,Budget Double Room,4 nights ·,June 2023,Couple,Double glazing windows may help not worth the money would not go back,Same breakfast every day boring Good location,Very noisy hotel Broken hair dryer,,4.0
Peter,United Kingdom,Budget Single Room,3 nights ·,June 2023,Solo traveller,comfortable and good,quirky and lovely,nothing,,10
Emma,United Kingdom,Budget Double Room,2 nights ·,June 2023,Couple,Quirky Find 🤩,What a quirky find! Excellent location with parking just at the end of the street. The memorabilia was made this a funky place to stay! Rooms were very comfortable and clean. Would recommend and would definitely stay again.,,,10
Robert,Israel,Budget Single Room,2 nights ·,June 2023,Solo traveller,Good value for the money,"Third time in this hotel. Beside nice and clean rooms, the location is great. 250 m from Aliados metro station, and 1 station from Trindade station who connect the airport to city center and cost 2.75 € one way",,,10
Serafin,Canada,Budget Double Room,1 night ·,June 2023,Couple,A pleasant stay,"Ok Varied,",,,10
Roberta,United Kingdom,Basic Double Room,5 nights ·,June 2023,Couple,Exceptional,"Brilliant stay and wonderful staff! The trip was a birthday gift to my boyfriend, and the staff very kindly upgraded us to a suite as they had availability. Very nice gesture! The location was perfect as very central. The hotel very quirky and intresting. Service was just impeccable! We had our return flight cancelled last minute and the staff helped immediately by finding a hotel near by. In a stressful moment, and during high holiday season, this kind of assistance was priceless. Thank you so much! You made this trip memorable! 100% recommend and would stay again.",,,10
Nicole,Ireland,Budget Double Room,3 nights ·,June 2023,Couple,"Brilliant quirky hotel, would definitely recommend!","The staff were very nice and helpful. Room was bigger than expected, very clean and comfortable. Shower was amazing. Quirky hotel and the rooftop bar was really nice! In a great location, within walking distance to everything too.",You need to drop your key into reception every time you leave the hotel.,,10
Joan,United States,Budget Double Room,5 nights ·,June 2023,Couple,Exceptional,"Location was great, easy to walk everywhere, hotel was exactly what we wanted. Will recommend to friends",,,10
Yueheng,Ireland,Triple Room,1 night ·,June 2023,Group,Exceptional,Very nice and kind reception staff. Very nice view from the top floor.,,,10
Ronald,Canada,Budget Double Room,1 night ·,June 2023,Couple,we would stay there again in a minute,"convenient, charming, eclectic decor wand comfortable",nothing,,10
Mario,United Kingdom,Budget Single Room,1 night ·,March 2023,Solo traveller,A fascinating stay in the Europe’s only bumper car Hotel !,"The hotel is unique in its style. The only “bumper car” Hotel in Europe and most probably in the world. For those who lime memorabilia it’s fascinating. The decor is astonishing as the owner is an avid collector, and there are bumper cars every floor, retro office machines , toys from 30’s to 70’s, old advertising posters, difficult to tell, as this is absolutely unique and enjoyable. The interior architecture of the building is art deco style. You will be fascinated for such a hotel experience. Plus the staff very nice, giving suggestions about the rich and diverse gastronomy of the capital of the north of Portugal, home to world famous Porto wine. The room is fine, comfy bed and mine had an amazing view from the top. A stay to be remembered and a strong wish to return. Definitely suggest!! And the location is perfect right in the centre but quiet at night. Lots of shops and restaurants around, with the Town Hall just 5 minutes walking! Given my curiosity, the owner gave me a tour around the hotel pointed out the most relevant memorabilia of his extraordinary collection! Top really!",,,10
Mary,United States,Budget Double Room,6 nights ·,May 2023,Couple,6 nights and we will return to the hotel and Porto,staff most helpful and courteous,,,10
Gor,Armenia,Budget Single Room,2 nights ·,May 2023,Solo traveller,Dissapointing,"+Central location, close to train station and all the major attractions. +Staff were friendly.","-Sheets had blood stains. -There was a spider crawling on my bed -Wardrobe door was detached and broken -I had to leave keys at the reception every time i left the hotel, which is annoying -Air-conditioner didn't have remote, but at least it was working",,4.0
Graham,United Kingdom,Budget Double Room,3 nights ·,May 2023,Group,Would not recommend this hotel!,"Very clean hotel, good location, great decor with old memorabilia.","Poor room, very small, very basic, no coffee or milk, everything was an additional cost including using the computer in the communal lounge. Very little information on arrival, dreadful view out of our window looking at an interior courtyard and other rooms AC equipment. Far too expensive !! never a 3 star hotel. Breakfast was very expensive for awful food!! The breakfast staff were rude and ignorant, I would just sack them!!",,2.0
Anna,United States,Twin Room,3 nights ·,May 2023,Group,"nice staff and location, poor facilities.",it’s a great location and the staff is very friendly.,the bathroom light was horrible. it was automatic but wouldn’t stay off or on. literally had to walk around while brushing teeth and it kept flickering. it flickered the whole shower or anything. the AC unit in the room didn’t work either.,,6.0
Johan,Netherlands,Superior Double Room,3 nights ·,May 2023,Group,"ok, but would take an othe hotel next time",rooms are large,"what they call a bar is a table in a room with some drinks, a joke breakfast room is unsociable, should be refurbished",,6.0
Caroline,United States,Twin Room,2 nights ·,May 2023,Couple,Lovely place to stay!,"The staff were very helpful in letting us store our luggage pre check in, and taking care of thr luggage that arrived late from the airport. Location was conveniently located by many restaurants and close to the metro. Elevator was a plus Bathroom was clean and room was spacious The view from the terrace was lovely!",,,10
Jamie,United States,Basic Double Room,3 nights ·,May 2023,Couple,Exceptional,funky & great location,,,10
Hande,United States,Budget Single Room,1 night ·,May 2023,Solo traveller,Exceptional,Staff,Bed,,10
David,Finland,Budget Double Room,4 nights ·,April 2023,Couple,Poor,Staff were very kind and the location good,"This is like a kind of up-market hostel. Room dark and dull. Noise from adjoining rooms bad, entry to breakfast very annoying - pushed into making time reservations, and then waiting for the often single member of staff who appeared to be responsible for all activities come to enable entry. Breakfast room poor with a continuous video music channel running, roof top bar rarely open. Basically a rough and tumble kind of place to be avoided if you need good facilities and peace.",,3.0
Chunghee,United States,Budget Single Room,2 nights ·,April 2023,Solo traveller,Passable,Location was convenient. Staff were nice.,It's pretty old facility. Tiny space.,,5.0
Jolanta,Lithuania,Budget Single Room,1 night ·,April 2023,Group,Disappointing experience,Great location,"The staff were rude. The room was so small, it looked like a capsule or a corridor, with a tiny window at the very end near the bathroom. The room was dark and shabby. Bed linen was not clean and was greyish or yellowish rather than white. There was also a rule that you had to leave your key at reception when you left the hotel, but once we picked it up, they never asked our names to make sure we were really guests. Booking.com states that no prepayment is required at this hotel. This is not accurate - the hotel reserves funds on your credit card three days before arrival and asks you to pay again on arrival. Three days after checking out, but my credit card is still reserved.",,5.0
Jill,United Kingdom,Budget Double Room,1 night ·,April 2023,Couple,Pleasant,Good central location and clean,Having to pay to park. We arrived 20 miutes before check in time after driving our motorcycle through torrential rain.We were not allowed to check in till 2.We were soaking.Had to go and sit in a cafe,,6.0
Raminta,Lithuania,Budget Single Room,1 night ·,April 2023,Solo traveller,Pleasant,The hotel is well-located. This is probably the only advantage it has.,"The pictures in the booking are of the better rooms probably, the ordinary ones were just ok. The hotel both reserves the booking sum and asks to pay at check in, not very convenient if you stay for a few nights, some outdated method to check with the cleaning staff whether mini bar is full at check out or give the key to the reception whenever you go out, personnel at the reception was arrogant.",,6.0
Barbara,United Kingdom,Deluxe Double Room with Balcony,3 nights ·,April 2023,Couple,We had a comfortable stay and the location was very good for ease of access to all attractions,"We upgraded our room and it fulfilled our requirements, it was spacious and very comfortable. There was a very good choice at breakfast and the location was spot on for what we needed.",A softer pillow for my husband.,,10
Joachim,Norway,Budget Single Room,1 night ·,April 2023,Solo traveller,Nice cozy and pleasant stay,"Great Staff, cozy atmosphere, retro design with a bunch of old stuff for decorations.",I can't really say there was anything i disliked.,,10
Marika,United States,Budget Single Room,2 nights ·,April 2023,Solo traveller,"Underwhelming, outdated hotel in fabulous location","Location was perfect, staff were kind.","I didn’t feel safe when I realized that the balcony was connected to all others and easily accessible not only to other rooms but also to anyone using the cafe. Further the door had a very flimsy lock, and there was no safety chain. Additionally there was mold and rust in the bathroom and mold on the (partially broken) blackout curtain. Also the AC rattled and smelled musty. I kept the door to the balcony open despite safety concerns because of it. The hotel needs a good scrub and modernization.",,3.0
Maria,South Africa,Budget Double Room,2 nights ·,April 2023,Family,Exceptional,"The location is excellent. The staff speaks English, gave us a map of the city and helped with getting a taxi. We arrived early and they took care of our luggage. Breakfast is good.",,,10
Fadi,Spain,Budget Double Room,4 nights ·,April 2023,Couple,oK,Location,Small room not like the photos I asked to change but they said I can not despite there being empty rooms Breakfast was OK but the same every day no options at all. Wifi is the worst ever. you can not even send an email so I have to use my data all the time,,6.0
Anonymous,Ireland,Budget Double Room,2 nights ·,May 2023,Couple,I would recommend this hotel it’s very quirky with lots of interesting memorabilia,great location excellent staff very clean,,,9.0
